State,Count,Percent,"Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault",Population
California,102427,260,1284,2155,15404,83584,39437610
Florida,33860,158,787,1765,6006,25302,21492056
Michigan,12521,125,346,846,1272,10057,9984795
Texas,33962,117,698,1988,5539,25737,28986794
New Jersey,9294,104,184,356,2063,6691,8891258
North Carolina,8942,85,366,200,1967,6409,10501384
Virginia,6933,81,299,541,1315,4778,8556642
Ohio,8752,75,244,438,1830,6240,11696507
New York,10788,55,197,988,2222,7381,19463131
Pennsylvania,4774,37,105,220,701,3748,12798883
Georgia,2313,22,70,88,316,1839,10628020
Illinois,487,4,18,19,75,375,12667017
